F_EOM/2 (MHz),V_carrier (V),V_sideband (mV)
840,10.1,29.6
842,10.2,38
844,10.5,56.8
846,10.4,73.6
848,10.5,91.2
850,10.3,114
852,10.6,168
854,10.4,232
856,10.5,428
858,9.84,952
860,1.94,944
862,0.324,612
864,2.48,672
866,4.6,388
868,5.16,232
870,6.16,150
872,6.4,95.2
874,6.4,68.8
876,7.12,46.4
878,7.16,37.6
880,7.32,31.6
